Code,Groups,Description
1,"gov, tech",Defense & Space
3,tech,Computer Hardware
4,tech,Computer Software
5,tech,Computer Networking
6,tech,Internet
7,tech,Semiconductors
8,"gov, tech",Telecommunications
9,leg,Law Practice
10,leg,Legal Services
11,corp,Management Consulting
12,"gov, hlth, tech",Biotechnology
13,hlth,Medical Practice
14,hlth,Hospital & Health Care
15,"hlth, tech",Pharmaceuticals
16,hlth,Veterinary
17,hlth,Medical Devices
18,good,Cosmetics
19,good,Apparel & Fashion
20,"good, rec",Sporting Goods
21,good,Tobacco
22,good,Supermarkets
23,"good, man, serv",Food Production
24,"good, man",Consumer Electronics
25,"good, man",Consumer Goods
26,"good, man",Furniture
27,"good, man",Retail
28,"med, rec",Entertainment
29,rec,Gambling & Casinos
30,"rec, serv, tran","Leisure, Travel & Tourism"
31,"rec, serv, tran",Hospitality
32,"rec, serv",Restaurants
33,rec,Sports
34,"rec, serv",Food & Beverages
35,"art, med, rec",Motion Pictures and Film
36,"med, rec",Broadcast Media
37,"art, med, rec",Museums and Institutions
38,"art, med, rec",Fine Art
39,"art, med, rec",Performing Arts
40,"rec, serv",Recreational Facilities and Services
41,fin,Banking
42,fin,Insurance
43,fin,Financial Services
44,"cons, fin, good",Real Estate
45,fin,Investment Banking
46,fin,Investment Management
47,"corp, fin",Accounting
48,cons,Construction
49,cons,Building Materials
50,cons,Architecture & Planning
51,"cons, gov",Civil Engineering
52,"gov, man",Aviation & Aerospace
53,man,Automotive
54,man,Chemicals
55,man,Machinery
56,man,Mining & Metals
57,man,Oil & Energy
58,man,Shipbuilding
59,man,Utilities
60,man,Textiles
61,man,Paper & Forest Products
62,man,Railroad Manufacture
63,agr,Farming
64,agr,Ranching
65,agr,Dairy
66,agr,Fishery
67,edu,Primary/Secondary Education
68,edu,Higher Education
69,edu,Education Management
70,"edu, gov",Research
71,gov,Military
72,"gov, leg",Legislative Office
73,"gov, leg",Judiciary
74,gov,International Affairs
75,gov,Government Administration
76,gov,Executive Office
77,"gov, leg",Law Enforcement
78,gov,Public Safety
79,gov,Public Policy
80,"corp, med",Marketing and Advertising
81,"med, rec",Newspapers
82,"med, rec",Publishing
83,"med, rec",Printing
84,"med, serv",Information Services
85,"med, rec, serv",Libraries
86,"org, serv",Environmental Services
87,"serv, tran",Package/Freight Delivery
88,"org, serv",Individual & Family Services
89,"org, serv",Religious Institutions
90,"org, serv",Civic & Social Organization
91,"org, serv",Consumer Services
92,tran,Transportation/Trucking/Railroad
93,tran,Warehousing
94,"man, tech, tran",Airlines/Aviation
95,tran,Maritime
96,tech,Information Technology and Services
97,corp,Market Research
98,corp,Public Relations and Communications
99,"art, med",Design
100,org,Non-Profit Organization Management
101,org,Fund-Raising
102,"corp, org",Program Development
103,"art, med, rec",Writing and Editing
104,corp,Staffing and Recruiting
105,corp,Professional Training & Coaching
106,"fin, tech",Venture Capital & Private Equity
107,"gov, org",Political Organization
108,"corp, gov, serv",Translation and Localization
109,"med, rec",Computer Games
110,"corp, rec, serv",Events Services
111,"art, med, rec",Arts and Crafts
112,"good, man",Electrical/Electronic Manufacturing
113,med,Online Media
114,"gov, man, tech",Nanotechnology
115,"art, rec",Music
116,"corp, tran",Logistics and Supply Chain
117,man,Plastics
118,tech,Computer & Network Security
119,tech,Wireless
120,"leg, org",Alternative Dispute Resolution
121,"corp, org, serv",Security and Investigations
122,"corp, serv",Facilities Services
123,corp,Outsourcing/Offshoring
124,"hlth, rec","Health, Wellness and Fitness"
125,hlth,Alternative Medicine
126,"med, rec",Media Production
127,"art, med",Animation
128,"cons, corp, fin",Commercial Real Estate
129,fin,Capital Markets
130,"gov, org",Think Tanks
131,org,Philanthropy
132,"edu, org",E-Learning
133,good,Wholesale
134,"corp, good, tran",Import and Export
135,"cons, gov, man",Mechanical or Industrial Engineering
136,"art, med, rec",Photography
137,corp,Human Resources
138,"corp, man",Business Supplies and Equipment
139,hlth,Mental Health Care
140,"art, med",Graphic Design
141,"gov, org, tran",International Trade and Development
142,"good, man, rec",Wine and Spirits
143,good,Luxury Goods & Jewelry
144,"gov, man, org",Renewables & Environment
145,"cons, man","Glass, Ceramics & Concrete"
146,"good, man",Packaging and Containers
147,"cons, man",Industrial Automation
148,gov,Government Relations
