Job Title,Job Category,Selected
.NET Developer,Information Technology,1
Academic Director,Education,1
Account Coordinator,Support,1
Account Executive,Business Development,1
Account Manager,Sales,1
Account Manager,Support,1
Accountant,Accounting,1
Accountant,Accounting,1
Accounting Clerk,Accounting,1
Accounting Manager,Accounting,1
Addiction Specialist,Community & Social Services,1
Administrative Assistant,Administrative,1
Administrative Assistant,Support,1
Administrative Assistant Buyer,Purchasing,1
Administrative Manager,Administrative,1
Administrative Medical Assistant,Healthcare Services,1
Administrator,Education,1
Admissions Recruiter,Education,1
Advertising Sales Representative,Sales,1
Aerospace Engineer,Engineering,1
Affiliate Management Associate,Program & Product Management,1
"Analyst, Logistics",Business Development,1
Analytical Lab Technician,Research,1
Android Developer,Information Technology,1
Anesthesiologist,Healthcare Services,1
Animator,Media,1
Announcer,Media,1
AP Accounts Payable/Purchasing Specialist,Purchasing,1
Application Developer,Information Technology,1
Appraiser,Real Estate,1
Arbitrator,Legal,1
Area Sales Manager,Sales,1
Armed Shift Supervisor,Military & Protective Services,1
Assessment and Curriculum Programs Coordinator,Education,1
Asset Management Analyst,Finance,1
Assistant Manager - Category Management,Program & Product Management,1
Assistant Procurement Manager,Purchasing,1
Athletic Director,Education,1
Attorney,Legal,1
Audio and Video Equipment Technician,Media,1
Auditor,Accounting,1
Author,Media,1
Automotive Engineer,Engineering,1
B2B Corporate Sales ,Sales,1
Background Investigator,Military & Protective Services,1
Behavior Specialist,Education,1
Benefits Specialist,Human Resources,1
Bereavement Coordinator,Healthcare Services,1
Billing Coordinator,Administrative,1
Biological Engineer,Engineering,1
Biologist,Healthcare Services,1
Biomedical Engineer,Engineering,1
Biomedical Technician,Healthcare Services,1
Bookkeeper,Accounting,1
Bookkeeper,Administrative,1
Boutique Assistant,Art & Design,1
Branch Manager,Business Development,1
Brand Manager,Marketing,1
Brand Strategist,Marketing,1
Broadcast and Sound Engineering Technician,Media,1
Broadcaster,Media,1
Broker,Real Estate,1
Budget Manager,Accounting,1
Budget Manager,Program & Product Management,1
Building Inspector,Real Estate,1
Business Analyst,Business Development,1
Business Consultant,Consulting,1
Business Development Associate,Business Development,1
Business Development Manager,Sales,1
Business Manager,Business Development,1
Buyer,Art & Design,1
Buyer ,Purchasing,1
Call Center Lead,Support,1
Call Center Representative,Support,1
Camera Operator,Media,1
Case Manager,Community & Social Services,1
Case Manager,Legal,1
