title,category,url
.NET Developer,Information Technology,http://www.myplan.com/careers/software-developers-applications/description-15-1132.00.html
Academic Director,Education,http://www.myplan.com/careers/educational-guidance-school-and-vocational-counselors/description-21-1012.00.html
Account Coordinator,Support,http://www.myplan.com/careers/office-clerks-general/description-43-9061.00.html
Account Executive,Business Development,http://www.myplan.com/careers/chief-executives/description-11-1011.00.html
Account Manager,Sales,http://www.myplan.com/careers/sales-managers/description-11-2022.00.html
Account Manager,Support,http://www.myplan.com/careers/customer-service-representatives/description-43-4051.00.html
Accountant,Accounting,http://www.myplan.com/careers/accountants/description-13-2011.01.html
Accountant,Accounting,http://www.myplan.com/careers/accountants/description-13-2011.01.html
Accounting Clerk,Accounting,http://www.myplan.com/careers/bookkeeping-accounting-and-auditing-clerks/description-43-3031.00.html
Accounting Manager,Accounting,http://www.myplan.com/careers/bookkeeping-accounting-and-auditing-clerks/description-43-3031.00.html
Addiction Specialist,Community & Social Services,http://www.myplan.com/careers/substance-abuse-and-behavioral-disorder-counselors/description-21-1011.00.html
Administrative Assistant,Administrative,http://www.myplan.com/careers/executive-secretaries-and-executive-administrative-assistants/description-43-6011.00.html
Administrative Assistant,Support,http://www.myplan.com/careers/executive-secretaries-and-executive-administrative-assistants/description-43-6011.00.html
Administrative Assistant Buyer,Purchasing,http://www.myplan.com/careers/wholesale-and-retail-buyers-except-farm-products/description-13-1022.00.html
Administrative Manager,Administrative,http://www.myplan.com/careers/administrative-services-managers/description-11-3011.00.html
Administrative Medical Assistant,Healthcare Services,http://www.myplan.com/careers/medical-assistants/description-31-9092.00.html
Administrator,Education,http://www.myplan.com/careers/education-administrators-postsecondary/description-11-9033.00.html
Admissions Recruiter,Education,http://www.myplan.com/careers/education-administrators-postsecondary/description-11-9033.00.html
Advertising Sales Representative,Sales,http://careerplanning.about.com/od/exploringoccupations/p/advertising-sales-rep.htm
Aerospace Engineer,Engineering,http://www.myplan.com/careers/aerospace-engineers/description-17-2011.00.html
Affiliate Management Associate,Program & Product Management,http://www.myplan.com/careers/biochemists-and-biophysicists/description-19-1021.00.html
"Analyst, Logistics",Business Development,http://careerplanning.about.com/od/occupations/p/compsysanalyst.htm
Analytical Lab Technician,Research,http://www.myplan.com/careers/chemical-technicians/description-19-4031.00.html
Android Developer,Information Technology,http://careerplanning.about.com/od/occupations/p/comp_programmer.htm
Anesthesiologist,Healthcare Services,http://www.myplan.com/careers/anesthesiologists/description-29-1061.00.html
Animator,Media,http://www.myplan.com/careers/multimedia-artists-and-animators/description-27-1014.00.html
Announcer,Media,http://www.myplan.com/careers/radio-and-television-announcers/description-27-3011.00.html
AP Accounts Payable/Purchasing Specialist,Purchasing,http://www.myplan.com/careers/purchasing-managers/description-11-3061.00.html
Application Developer,Information Technology,http://www.myplan.com/careers/software-developers-applications/description-15-1132.00.html
Appraiser,Real Estate,http://www.myplan.com/careers/appraisers-real-estate/description-13-2021.02.html
Arbitrator,Legal,http://www.myplan.com/careers/arbitrators-mediators-and-conciliators/description-23-1022.00.html
Area Sales Manager,Sales,http://www.myplan.com/careers/sales-managers/description-11-2022.00.html
Armed Shift Supervisor,Military & Protective Services,http://www.myplan.com/careers/security-guards/description-33-9032.00.html
